ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
CHEMBL4751034,179568,0,None,-,1,Human,7.0,pEC50,=,7,Functional,PositiveallostericmodulationofhumanM4receptor/Gqi5inpresenceofEC20glutamatebycalciummobilizationassayPositiveallostericmodulationofhumanM4receptor/Gqi5inpresenceofEC20glutamatebycalciummobilizationassay,ChEMBL,437,3,2,8,2.9,Cc1nc(Cl)c(C)c(N2CC(NC(=O)c3sc4nnc(Cl)c(C)c4c3N)C2)n1,10.1016/j.bmcl.2019.05.026
89445242,173937,0,None,-,1,Human,6.0,pEC50,=,6,Functional,PositiveallostericmodulationofGqi5-fusedhumanM4AChRassessedasincreaseinacetylcholine-inducedcalciummobilizationPositiveallostericmodulationofGqi5-fusedhumanM4AChRassessedasincreaseinacetylcholine-inducedcalciummobilization,ChEMBL,308,3,2,4,4.4,Cc1cc(C)c2c(n1)sc1c(NCc3ccccc3)n[nH]c12,10.1016/j.bmcl.2018.12.039
CHEMBL4558571,173937,0,None,-,1,Human,6.0,pEC50,=,6,Functional,PositiveallostericmodulationofGqi5-fusedhumanM4AChRassessedasincreaseinacetylcholine-inducedcalciummobilizationPositiveallostericmodulationofGqi5-fusedhumanM4AChRassessedasincreaseinacetylcholine-inducedcalciummobilization,ChEMBL,308,3,2,4,4.4,Cc1cc(C)c2c(n1)sc1c(NCc3ccccc3)n[nH]c12,10.1016/j.bmcl.2018.12.039
155518224,169555,0,None,-,1,Human,5.0,pEC50,=,5,Functional,PositiveallostericmodulatoryactivityathumanMuscarinicacetylcholinereceptorM4expressedinHEKcellsco-expressingGlosensorconstructassessedasasincreaseinacteylcholine-inducedcAMPaccumulationincubatedfor7minsinpresenceofisoproterenol/acetylcholinebyGlosensorcAMPreagent/platereaderbasedluminescenceassayPositiveallostericmodulatoryactivityathumanMuscarinicacetylcholinereceptorM4expressedinHEKcellsco-expressingGlosensorconstructassessedasasincreaseinacteylcholine-inducedcAMPaccumulationincubatedfor7minsinpresenceofisoproterenol/acetylcholinebyGlosensorcAMPreagent/platereaderbasedluminescenceassay,ChEMBL,366,4,0,5,3.7,COc1cccnc1C1CCN(C2CCCN(c3cccnc3)CC2)CC1,10.1021/acsmedchemlett.9b00106
CHEMBL4446144,169555,0,None,-,1,Human,5.0,pEC50,=,5,Functional,PositiveallostericmodulatoryactivityathumanMuscarinicacetylcholinereceptorM4expressedinHEKcellsco-expressingGlosensorconstructassessedasasincreaseinacteylcholine-inducedcAMPaccumulationincubatedfor7minsinpresenceofisoproterenol/acetylcholinebyGlosensorcAMPreagent/platereaderbasedluminescenceassayPositiveallostericmodulatoryactivityathumanMuscarinicacetylcholinereceptorM4expressedinHEKcellsco-expressingGlosensorconstructassessedasasincreaseinacteylcholine-inducedcAMPaccumulationincubatedfor7minsinpresenceofisoproterenol/acetylcholinebyGlosensorcAMPreagent/platereaderbasedluminescenceassay,ChEMBL,366,4,0,5,3.7,COc1cccnc1C1CCN(C2CCCN(c3cccnc3)CC2)CC1,10.1021/acsmedchemlett.9b00106
155510640,173312,0,None,1,2,Human,7.0,pEC50,=,7.0,Functional,PositiveallostericmodulationactivityathumanM4receptorexpressedinCHOcellsco-expressingGqi5proteinassessedaspotentiationofEC20acetylcholine-inducedresponsebycalciummobilizationassayPositiveallostericmodulationactivityathumanM4receptorexpressedinCHOcellsco-expressingGqi5proteinassessedaspotentiationofEC20acetylcholine-inducedresponsebycalciummobilizationassay,ChEMBL,283,2,1,5,3.1,Cc1nnc2sc(C(=O)c3ccccc3)c(N)c2c1C,10.1016/j.bmcl.2016.07.042
CHEMBL4543522,173312,0,None,1,2,Human,7.0,pEC50,=,7.0,Functional,PositiveallostericmodulationactivityathumanM4receptorexpressedinCHOcellsco-expressingGqi5proteinassessedaspotentiationofEC20acetylcholine-inducedresponsebycalciummobilizationassayPositiveallostericmodulationactivityathumanM4receptorexpressedinCHOcellsco-expressingGqi5proteinassessedaspotentiationofEC20acetylcholine-inducedresponsebycalciummobilizationassay,ChEMBL,283,2,1,5,3.1,Cc1nnc2sc(C(=O)c3ccccc3)c(N)c2c1C,10.1016/j.bmcl.2016.07.042
155510640,173312,0,None,1,2,Human,7.0,pEC50,=,7.0,Functional,PositiveallostericmodulationactivityathumanM4receptorexpressedinCHOcellsco-expressingGqi5proteinassessedaspotentiationofEC20acetylcholine-inducedresponsebycalciummobilizationassayPositiveallostericmodulationactivityathumanM4receptorexpressedinCHOcellsco-expressingGqi5proteinassessedaspotentiationofEC20acetylcholine-inducedresponsebycalciummobilizationassay,ChEMBL,283,2,1,5,3.1,Cc1nnc2sc(C(=O)c3ccccc3)c(N)c2c1C,10.1016/j.bmcl.2016.07.042
CHEMBL4543522,173312,0,None,1,2,Human,7.0,pEC50,=,7.0,Functional,PositiveallostericmodulationactivityathumanM4receptorexpressedinCHOcellsco-expressingGqi5proteinassessedaspotentiationofEC20acetylcholine-inducedresponsebycalciummobilizationassayPositiveallostericmodulationactivityathumanM4receptorexpressedinCHOcellsco-expressingGqi5proteinassessedaspotentiationofEC20acetylcholine-inducedresponsebycalciummobilizationassay,ChEMBL,283,2,1,5,3.1,Cc1nnc2sc(C(=O)c3ccccc3)c(N)c2c1C,10.1016/j.bmcl.2016.07.042
137641943,157787,0,None,-,1,Human,7.0,pEC50,=,7.0,Functional,PositiveallostericmodulationofhumanM4receptorexpressedinCHOcellsco-expressingGqi5assessedasincreaseinacetylcholine-inducedcalciummobilizationPositiveallostericmodulationofhumanM4receptorexpressedinCHOcellsco-expressingGqi5assessedasincreaseinacetylcholine-inducedcalciummobilization,ChEMBL,354,3,2,7,1.9,Cc1nnc2sc(C(=O)NC3CN(c4ccccn4)C3)c(N)c2c1C,10.1016/j.bmcl.2017.05.014
