ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
DB08839,139,62,None,-3,27,Human,8.8,pEC50,=,8.8,Functional,Functionalactivityagainsthuman5-hydroxytryptamine2BreceptorexpressedinCHOcellsusingfluorometricimagingplatereaderFunctionalactivityagainsthuman5-hydroxytryptamine2BreceptorexpressedinCHOcellsusingfluorometricimagingplatereader,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2003.05.001
166,3278,10,None,2,4,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulationAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulation,ChEMBL,226,2,1,2,2.8,C[C@@H](Cn1ccc2c1cc(Cl)c(c2)F)N,10.1021/jm0709034
3045227,3278,10,None,2,4,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulationAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulation,ChEMBL,226,2,1,2,2.8,C[C@@H](Cn1ccc2c1cc(Cl)c(c2)F)N,10.1021/jm0709034
CHEMBL76781,3278,10,None,2,4,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulationAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulation,ChEMBL,226,2,1,2,2.8,C[C@@H](Cn1ccc2c1cc(Cl)c(c2)F)N,10.1021/jm0709034
44315993,172157,0,None,2,3,Human,8.0,pEC50,=,8,Functional,Functionalactivityagainsthuman5-hydroxytryptamine2BreceptorexpressedinCHOcellsusingfluorometricimagingplatereaderFunctionalactivityagainsthuman5-hydroxytryptamine2BreceptorexpressedinCHOcellsusingfluorometricimagingplatereader,ChEMBL,222,3,1,3,2.1,CSc1ccc2c(c1)N(C[C@H](C)N)CC2,10.1016/j.bmcl.2003.05.001
CHEMBL451543,172157,0,None,2,3,Human,8.0,pEC50,=,8,Functional,Functionalactivityagainsthuman5-hydroxytryptamine2BreceptorexpressedinCHOcellsusingfluorometricimagingplatereaderFunctionalactivityagainsthuman5-hydroxytryptamine2BreceptorexpressedinCHOcellsusingfluorometricimagingplatereader,ChEMBL,222,3,1,3,2.1,CSc1ccc2c(c1)N(C[C@H](C)N)CC2,10.1016/j.bmcl.2003.05.001
16115269,137474,0,None,-1,3,Human,7.0,pEC50,=,7,Functional,Activityathuman5HT2BexpressedinHEK293Ecellsassessedaselevationofintracellularcalciumby384-FLIPRassayActivityathuman5HT2BexpressedinHEK293Ecellsassessedaselevationofintracellularcalciumby384-FLIPRassay,ChEMBL,270,0,1,2,2.2,C[C@H]1CNC[C@H]2c3cccc(C(F)(F)F)c3C(=O)N12,10.1021/jm0612968
CHEMBL376676,137474,0,None,-1,3,Human,7.0,pEC50,=,7,Functional,Activityathuman5HT2BexpressedinHEK293Ecellsassessedaselevationofintracellularcalciumby384-FLIPRassayActivityathuman5HT2BexpressedinHEK293Ecellsassessedaselevationofintracellularcalciumby384-FLIPRassay,ChEMBL,270,0,1,2,2.2,C[C@H]1CNC[C@H]2c3cccc(C(F)(F)F)c3C(=O)N12,10.1021/jm0612968
9881885,63712,0,None,-19,3,Human,7.0,pEC50,=,7,Functional,Effectiveconcentrationtowards5-hydroxytryptamine2BreceptorstransfectedinHEK293cellswasdeterminedbymeasuring[3H]phosphoinositolreleaseEffectiveconcentrationtowards5-hydroxytryptamine2BreceptorstransfectedinHEK293cellswasdeterminedbymeasuring[3H]phosphoinositolrelease,ChEMBL,269,1,1,2,2.7,COc1cc2c(cc1Br)C(C)CNCC2,10.1016/j.bmcl.2004.12.080
CHEMBL180815,63712,0,None,-19,3,Human,7.0,pEC50,=,7,Functional,Effectiveconcentrationtowards5-hydroxytryptamine2BreceptorstransfectedinHEK293cellswasdeterminedbymeasuring[3H]phosphoinositolreleaseEffectiveconcentrationtowards5-hydroxytryptamine2BreceptorstransfectedinHEK293cellswasdeterminedbymeasuring[3H]phosphoinositolrelease,ChEMBL,269,1,1,2,2.7,COc1cc2c(cc1Br)C(C)CNCC2,10.1016/j.bmcl.2004.12.080
